Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),Direzione_Vento (°N),NO2 (µg/m³),NOx (ppb),NO (ppb),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Umidità_Relativa (%),Velocità_Vento (m/s)
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 11:00,0.43,335.0,10.46,9.23,3.76,89.57,,,0.0,1000.44,648.3,4.35,12.97,52.98,5.01
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 12:00,0.42,337.0,8.96,7.57,2.89,90.93,,,0.0,1000.24,558.49,4.22,13.38,46.89,5.2
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 13:00,0.43,332.0,9.89,8.81,3.64,92.71,,,0.0,999.98,672.7,4.3,14.0,46.83,5.43
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 14:00,0.44,332.0,13.61,13.36,6.24,91.57,,,0.0,999.63,543.55,4.39,14.33,46.51,5.44
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 15:00,0.43,334.0,10.85,9.55,3.88,92.86,,,0.0,999.23,484.88,4.32,14.65,44.57,4.88
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 16:00,0.43,339.0,10.06,8.07,2.81,95.02,,,0.0,999.02,349.23,4.3,14.64,43.18,4.93
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 17:00,0.43,333.0,10.4,8.73,3.29,93.43,,,0.0,999.15,189.08,4.28,14.39,43.05,4.33
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 18:00,0.45,334.0,13.45,10.77,3.73,85.55,,,0.0,999.26,44.65,4.14,13.45,45.99,2.85
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 19:00,0.43,325.0,15.96,12.63,4.28,74.2,,,0.0,999.42,4.01,4.39,11.72,51.61,2.19
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 20:00,0.45,286.0,24.95,16.44,3.39,51.08,,,0.0,1000.0,1.83,4.22,9.1,62.97,1.35
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 21:00,0.43,210.0,20.71,13.28,2.44,49.45,,,0.0,1000.74,1.81,4.12,7.46,68.15,1.38
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 22:00,0.45,235.0,15.38,10.14,2.09,37.74,,,0.0,1001.4,1.92,4.18,4.79,76.8,1.03
S_Nicola_di_Melfi,41.069444,15.7225,25/03/2021 23:00,0.53,352.0,-9999.0,-9999.0,-9999.0,22.4,,,0.0,1001.64,2.11,4.96,4.32,81.67,0.17
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 00:00,0.5,187.0,28.2,17.58,2.83,27.95,,,0.0,1001.67,1.99,4.53,3.69,81.88,0.87
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 01:00,0.49,342.0,23.84,15.67,3.2,27.2,,,0.0,1001.75,2.16,4.69,3.44,82.76,0.34
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 02:00,0.51,211.0,30.3,21.04,5.19,17.97,,,0.0,1001.43,2.36,4.54,3.28,83.33,0.03
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 03:00,0.49,244.0,26.57,18.0,4.11,20.33,,,0.0,1001.14,2.27,4.47,2.79,85.85,0.32
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 04:00,0.49,243.0,24.16,15.51,2.87,23.36,,,0.0,1001.05,2.33,4.4,2.72,86.15,0.09
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 05:00,0.51,279.0,20.44,14.27,3.57,25.86,,,0.0,1001.34,2.31,4.53,2.37,86.29,0.81
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 06:00,0.56,288.0,32.58,39.06,22.02,20.1,,,0.0,1001.63,4.52,5.76,2.42,84.76,0.67
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 07:00,0.55,271.0,37.65,39.53,19.84,17.02,,,0.0,1002.1,121.13,5.89,3.12,81.64,0.37
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 08:00,0.5,272.0,26.36,23.52,9.73,33.93,,,0.0,1002.83,305.25,5.13,6.43,73.98,0.18
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 09:00,0.51,287.0,31.44,26.17,9.74,47.24,,,0.0,1003.71,477.24,6.31,10.52,58.75,0.18
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 10:00,0.48,66.0,21.35,14.86,3.7,72.06,,,0.0,1004.09,594.72,5.02,13.88,52.87,0.5
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 11:00,0.47,124.0,16.5,10.39,1.76,86.86,,,0.0,1004.16,676.6,4.53,16.3,43.99,0.71
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 12:00,0.44,74.0,11.75,7.92,1.77,92.16,,,0.0,1003.98,707.11,4.09,17.49,32.54,1.79
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 13:00,0.43,74.0,10.4,6.98,1.54,93.74,,,0.0,1003.56,655.84,4.0,18.05,33.54,2.36
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 14:00,0.42,74.0,10.02,7.16,1.92,96.08,,,0.0,1003.09,610.82,4.01,18.76,32.6,2.25
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 15:00,0.41,86.0,9.58,6.61,1.6,101.01,,,0.0,1002.67,495.46,4.27,19.17,30.94,2.45
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 16:00,0.42,99.0,8.77,6.35,1.77,105.05,,,0.0,1002.57,336.84,4.13,19.34,29.69,2.31
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 17:00,0.42,70.0,11.33,7.65,1.72,97.33,,,0.0,1002.67,89.42,4.43,17.69,37.12,1.93
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 18:00,0.43,85.0,12.24,8.16,1.76,85.46,,,0.0,1002.82,58.72,4.32,16.4,38.4,1.4
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 19:00,0.44,288.0,27.75,18.34,3.82,59.01,,,0.0,1003.02,4.51,4.25,14.4,42.92,1.51
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 20:00,0.46,291.0,31.17,20.11,3.8,51.57,,,0.0,1003.65,1.77,4.36,12.49,56.33,1.32
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 21:00,0.47,207.0,18.65,11.87,2.12,84.67,,,0.0,1004.19,1.83,4.3,12.66,64.14,2.55
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 22:00,0.51,211.0,-9999.0,-9999.0,-9999.0,65.4,,,0.0,1004.44,1.83,4.35,11.57,66.48,2.36
S_Nicola_di_Melfi,41.069444,15.7225,26/03/2021 23:00,0.46,250.0,26.09,16.1,2.47,75.47,,,0.0,1004.47,1.71,4.13,11.31,67.42,1.07
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 00:00,0.42,284.0,13.65,8.73,1.59,86.52,,,0.0,1004.34,1.78,4.22,11.53,66.33,2.22
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 01:00,0.43,283.0,10.07,6.75,1.49,89.43,,,0.0,1004.33,1.93,3.99,11.23,66.84,2.02
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 02:00,0.42,273.0,9.9,7.05,1.87,89.46,,,0.0,1004.28,1.81,4.25,11.33,64.629,1.97
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 03:00,0.42,275.0,9.18,6.63,1.82,89.78,,,0.0,1004.24,1.82,4.28,10.98,66.07,2.4
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 04:00,0.41,278.0,10.17,6.98,1.66,86.2,,,0.0,1004.21,1.79,4.33,10.35,68.0,1.84
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 05:00,0.42,278.0,10.03,6.93,1.69,90.3,,,0.0,1004.43,1.74,4.12,10.69,66.16,2.97
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 06:00,0.42,276.0,11.84,10.61,4.41,89.58,,,0.0,1004.6,5.74,4.31,10.81,67.67,3.48
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 07:00,0.41,255.0,17.28,14.55,5.51,81.91,,,0.0,1004.76,116.08,3.96,11.26,67.15,2.06
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 08:00,0.41,256.0,11.97,8.78,2.53,86.17,,,0.0,1005.1,303.14,4.07,12.88,62.5,2.7
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 09:00,0.41,243.0,7.15,5.64,1.9,93.25,,,0.0,1005.18,467.09,3.92,14.36,56.19,3.46
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 10:00,0.41,243.0,9.18,7.54,2.73,91.11,,,0.0,1005.48,586.54,4.21,15.84,51.6,2.97
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 11:00,0.42,248.0,8.93,7.03,2.37,92.86,,,0.0,1005.4,653.35,4.2,17.22,49.22,2.91
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 12:00,0.41,265.0,8.5,6.73,2.29,94.34,,,0.0,1005.14,630.7,4.22,18.47,44.9,3.06
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 13:00,0.4,291.0,8.23,6.5,2.2,100.22,,,0.0,1005.25,601.55,4.29,19.19,40.78,3.89
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 14:00,0.42,273.0,9.46,7.89,2.94,102.87,,,0.0,1004.93,659.79,4.28,20.31,38.24,2.88
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 15:00,0.42,291.0,8.94,7.2,2.52,106.05,,,0.0,1004.59,382.61,4.36,20.02,35.9,3.97
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 16:00,0.43,292.0,8.05,6.0,1.79,110.82,,,0.0,1004.32,229.93,4.33,19.63,39.65,3.6
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 17:00,0.44,302.0,9.77,6.98,1.87,111.49,,,0.0,1004.17,205.02,4.39,19.21,42.95,4.63
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 18:00,0.45,296.0,11.27,7.89,1.99,103.27,,,0.0,1004.38,63.05,4.35,17.63,49.02,4.29
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 19:00,0.45,285.0,10.53,7.23,1.72,89.83,,,0.0,1004.68,4.11,4.33,15.47,57.69,2.93
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 20:00,0.44,247.0,8.55,6.13,1.67,90.17,,,0.0,1005.14,1.74,4.32,14.42,58.64,1.96
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 21:00,0.45,205.0,-9999.0,-9999.0,-9999.0,79.86,,,0.0,1005.71,1.82,4.28,13.62,59.6,0.51
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 22:00,0.43,197.0,16.12,10.22,1.79,66.37,,,0.0,1006.11,1.63,4.09,11.78,65.71,1.54
S_Nicola_di_Melfi,41.069444,15.7225,27/03/2021 23:00,0.45,233.0,13.74,8.97,1.79,64.14,,,0.0,1006.63,1.6,4.28,10.79,67.99,0.48
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 00:00,0.46,164.0,13.94,9.23,1.94,58.98,,,0.0,1007.02,1.62,4.06,10.28,69.48,0.21
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 01:00,0.46,209.0,14.47,9.63,2.06,57.95,,,0.0,1007.34,1.59,4.28,9.97,70.56,0.76
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 02:00,0.46,199.0,13.71,9.16,1.99,54.03,,,0.0,1007.35,1.59,4.23,9.02,74.38,0.36
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 03:00,0.48,57.0,15.97,10.57,2.22,51.64,,,0.0,1007.51,1.63,4.76,8.84,77.23,0.17
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 04:00,0.48,296.0,15.49,10.36,2.25,47.1,,,0.0,1007.75,1.66,5.12,8.189,80.41,1.11
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 05:00,0.46,223.0,15.77,11.12,2.88,41.08,,,0.0,1007.9,1.68,5.17,7.54,82.76,0.2
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 06:00,0.46,284.0,17.78,13.89,4.59,35.35,,,0.0,1008.33,4.11,5.12,7.0,83.75,0.95
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 07:00,0.45,218.0,14.05,10.1,2.75,33.62,,,0.0,1008.93,100.36,5.14,6.99,85.01,0.32
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 08:00,0.53,218.0,18.82,13.43,3.59,43.74,,,0.0,1009.45,291.33,5.93,10.19,72.85,0.1
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 09:00,0.51,306.0,17.11,12.75,3.8,48.54,,,0.0,1009.91,460.97,5.81,12.97,62.5,0.54
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 10:00,0.47,330.0,14.47,10.08,2.51,76.1,,,0.0,1010.17,585.25,5.47,15.96,52.1,0.91
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 11:00,0.46,71.0,12.47,8.24,1.72,90.98,,,0.0,1010.42,665.91,5.45,18.16,45.88,0.98
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 12:00,0.41,49.0,11.93,8.0,1.76,95.34,,,0.0,1010.36,689.48,5.89,19.28,43.39,1.83
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 13:00,0.42,45.0,10.31,7.12,1.73,101.21,,,0.0,1010.02,647.41,5.68,19.68,42.62,2.029
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 14:00,0.4,57.0,10.2,7.01,1.68,102.3,,,0.0,1009.44,604.85,5.72,20.47,41.01,2.16
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 15:00,0.39,51.0,9.6,6.79,1.77,106.64,,,0.0,1008.95,488.51,5.85,20.94,40.73,2.3
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 16:00,0.41,75.0,9.69,6.71,1.64,114.1,,,0.0,1008.86,341.29,6.0,20.73,43.85,2.91
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 17:00,0.4,72.0,10.02,6.95,1.71,109.19,,,0.0,1008.97,183.94,6.04,19.56,51.16,3.17
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 18:00,0.41,65.0,10.43,7.1,1.65,99.98,,,0.0,1009.15,52.09,5.91,17.8,53.9,1.66
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 19:00,0.42,18.0,12.53,8.17,1.61,86.86,,,0.0,1009.35,4.68,5.97,16.44,58.37,0.03
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 20:00,0.44,13.0,-9999.0,-9999.0,-9999.0,78.39,,,0.0,1009.52,1.7,5.97,15.06,61.93,0.26
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 21:00,0.42,220.0,23.52,15.11,2.81,52.51,,,0.0,1009.85,1.54,5.97,12.96,70.05,0.83
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 22:00,0.42,210.0,18.15,12.31,2.82,48.48,,,0.0,1010.23,1.51,5.63,11.13,77.48,0.75
S_Nicola_di_Melfi,41.069444,15.7225,28/03/2021 23:00,0.42,200.0,14.13,9.33,1.94,47.65,,,0.0,1010.67,1.69,5.37,10.1,82.22,1.78
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 00:00,0.44,199.0,13.17,9.05,2.16,43.7,,,0.0,1011.19,1.88,5.77,9.81,82.23,1.7
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 01:00,0.43,258.0,14.64,10.3,2.64,38.35,,,0.0,1011.44,2.17,5.73,9.38,83.84,0.23
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 02:00,0.41,249.0,13.21,9.15,2.24,40.33,,,0.0,1011.57,2.32,5.61,8.77,85.97,0.25
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 03:00,0.4,203.0,12.06,9.05,2.75,32.15,,,0.0,1011.54,2.43,5.68,7.55,88.21,0.8
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 04:00,0.41,208.0,12.3,8.66,2.23,32.49,,,0.0,1011.39,2.61,5.82,7.25,89.76,1.38
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 05:00,0.43,207.0,22.36,22.51,10.8,21.76,,,0.0,1011.27,2.58,6.13,6.4,89.8,1.25
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 06:00,0.43,262.0,31.4,32.3,15.88,10.38,,,0.0,1011.32,4.29,6.71,6.27,90.32,0.57
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 07:00,0.42,209.0,22.62,21.51,9.67,13.77,,,0.0,1011.62,43.22,6.3,5.92,91.45,2.48
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 08:00,0.45,185.0,27.41,27.75,13.42,18.48,,,0.0,1011.98,239.63,6.87,9.24,89.62,0.21
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 09:00,0.45,291.0,19.89,16.93,6.53,54.2,,,0.0,1012.29,453.24,6.24,11.4,80.91,2.84
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 10:00,0.43,338.0,13.22,10.08,3.17,78.84,,,0.0,1012.33,579.61,6.0,13.38,76.37,2.16
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 11:00,0.43,328.0,12.2,8.93,2.55,88.12,,,0.0,1012.5,571.51,5.76,15.49,69.39,1.72
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 12:00,0.41,17.0,13.56,9.87,2.77,91.56,,,0.0,1011.96,664.95,5.85,17.35,62.37,1.79
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 13:00,0.43,40.0,22.47,19.0,7.25,89.05,,,0.0,1011.62,599.95,5.96,18.44,57.66,2.11
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 14:00,0.43,339.0,14.7,11.77,4.09,98.61,,,0.0,1011.07,585.56,5.9,19.15,49.18,3.41
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 15:00,0.24,18.0,13.16,10.21,3.32,96.7,,,0.0,1010.63,458.56,7.07,19.54,47.57,3.59
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 16:00,0.0,332.0,13.26,11.58,4.65,91.47,,,0.0,1010.27,351.42,9.11,19.14,45.95,4.75
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 17:00,0.0,332.0,12.82,12.14,5.44,85.7,,,0.0,1010.09,176.27,8.89,18.18,47.94,4.38
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 18:00,0.0,322.0,13.07,10.61,3.78,83.19,,,0.0,1010.1,47.75,9.31,16.63,51.08,3.78
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 19:00,0.0,299.0,-9999.0,-9999.0,-9999.0,71.56,,,0.0,1010.04,4.4,10.51,14.79,54.05,3.04
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 20:00,0.0,289.0,25.38,16.17,2.89,54.28,,,0.0,1009.99,0.82,8.92,12.61,70.31,2.53
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 21:00,0.0,291.0,35.42,26.45,7.92,46.91,,,0.0,1010.15,0.82,9.15,11.71,73.07,2.34
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 22:00,0.0,281.0,23.81,17.55,5.1,68.87,,,0.0,1010.36,0.89,8.33,11.55,68.74,1.67
S_Nicola_di_Melfi,41.069444,15.7225,29/03/2021 23:00,0.0,281.0,15.07,10.46,2.58,72.52,,,0.0,1010.39,0.85,8.01,11.13,67.63,1.17
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 00:00,0.0,297.0,14.11,9.78,2.4,52.34,,,0.0,1010.4,0.88,8.02,9.28,73.08,1.04
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 01:00,0.0,290.0,13.24,9.45,2.53,62.34,,,0.0,1010.24,0.91,8.07,9.55,68.12,2.029
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 02:00,0.0,311.0,15.24,10.67,2.7,50.17,,,0.0,1009.73,0.9,8.19,8.51,71.42,0.98
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 03:00,0.0,227.0,14.16,10.28,2.88,40.37,,,0.0,1009.36,0.93,8.07,6.77,78.83,0.47
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 04:00,0.0,204.0,17.04,13.86,4.94,34.11,,,0.0,1008.89,0.95,8.34,6.14,81.62,0.83
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 05:00,0.0,140.0,39.64,38.24,17.5,15.25,,,0.0,1008.64,0.97,9.24,6.25,80.82,0.53
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 06:00,0.0,263.0,29.54,26.31,10.88,21.43,,,0.0,1008.94,4.35,8.82,5.85,80.92,0.57
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 07:00,0.0,195.0,19.5,15.86,5.66,36.71,,,0.0,1009.21,94.19,8.4,7.44,79.4,0.92
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 08:00,0.0,295.0,23.22,17.29,5.15,59.7,,,0.0,1009.51,276.71,8.59,12.01,68.87,3.0
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 09:00,0.0,301.0,15.17,11.66,3.73,80.29,,,0.0,1009.66,468.17,8.9,14.35,62.26,2.83
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 10:00,0.0,333.0,11.91,9.85,3.62,86.17,,,0.0,1009.95,591.73,8.74,15.92,56.19,3.47
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 11:00,0.0,342.0,12.46,9.94,3.43,89.8,,,0.0,1009.9,671.11,10.57,17.16,46.8,2.08
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 12:00,0.0,45.0,13.3,9.71,2.75,92.12,,,0.0,1009.65,700.35,11.58,18.08,43.59,2.62
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 13:00,0.0,341.0,19.88,17.05,6.65,91.49,,,0.0,1009.08,636.71,10.92,18.6,42.74,2.86
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 14:00,0.0,339.0,14.5,11.37,3.79,98.99,,,0.0,1008.34,591.52,9.77,19.1,43.16,3.56
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 15:00,0.0,340.0,13.72,11.13,3.95,97.88,,,0.0,1007.62,362.94,8.83,19.02,45.97,3.36
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 16:00,0.03,340.0,10.31,8.81,3.41,98.11,,,0.0,1006.87,345.73,-9999.0,18.87,45.1,4.71
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 17:00,-9999.0,340.0,-9999.0,-9999.0,-9999.0,95.2,,,0.0,1006.38,196.2,4.95,18.32,45.68,4.83
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 18:00,0.37,340.0,-9999.0,-9999.0,-9999.0,91.6,,,0.0,1005.57,54.72,4.94,16.85,50.72,4.09
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 19:00,0.32,323.0,17.48,12.08,2.93,83.53,,,0.0,1005.11,4.22,4.33,15.01,57.17,3.05
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 20:00,0.33,278.0,19.87,12.6,2.21,73.9,,,0.0,1005.03,0.97,4.6,13.95,59.99,1.53
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 21:00,0.3,197.0,16.68,10.99,2.27,52.14,,,0.0,1005.26,1.27,2.54,11.66,67.62,1.62
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 22:00,0.29,293.0,14.52,10.36,2.77,55.48,,,0.0,1005.1,1.31,2.33,10.02,69.73,0.35
S_Nicola_di_Melfi,41.069444,15.7225,30/03/2021 23:00,0.29,182.0,11.06,7.5,1.72,57.61,,,0.0,1004.78,1.44,2.07,9.53,73.01,0.5
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 00:00,0.3,191.0,10.34,6.98,1.57,54.55,,,0.0,1004.53,1.36,1.99,10.7,73.02,0.56
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 01:00,0.29,149.0,11.44,7.7,1.72,50.01,,,0.0,1004.3,1.81,1.33,10.69,73.82,0.07
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 02:00,0.29,349.0,19.26,12.63,2.55,39.84,,,0.0,1003.96,1.93,1.18,11.16,69.93,0.14
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 03:00,0.3,289.0,12.51,8.67,2.13,83.46,,,0.0,1003.58,2.12,1.03,12.82,57.27,2.37
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 04:00,0.3,295.0,13.69,8.19,1.04,93.07,,,0.0,1003.42,2.7,0.32,12.89,57.03,2.39
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 05:00,0.33,294.0,27.15,21.27,7.07,82.7,,,0.0,1003.4,2.74,0.4,12.21,59.28,1.91
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 06:00,0.32,286.0,31.83,20.24,3.6,71.33,,,0.0,1003.77,7.24,0.35,11.32,64.05,1.56
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 07:00,0.29,277.0,21.74,15.45,4.09,63.67,,,0.0,1004.11,123.05,0.29,10.8,71.35,0.41
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 08:00,0.32,292.0,18.1,12.69,3.22,89.59,,,0.0,1003.87,302.36,0.38,13.63,65.209,2.43
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 09:00,0.32,333.0,15.94,10.93,2.59,91.86,,,0.0,1003.98,468.79,0.55,15.52,61.12,1.33
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 10:00,0.3,95.0,10.19,6.42,1.09,99.06,,,0.0,1004.06,478.91,0.47,16.67,56.26,2.11
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 11:00,0.29,121.0,8.65,5.22,0.71,100.07,,,0.0,1003.86,461.73,0.5,16.71,58.21,1.66
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 12:00,0.3,20.0,10.51,6.41,0.98,96.6,,,0.0,1003.33,510.41,0.71,17.74,50.23,1.26
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 13:00,0.3,51.0,12.58,8.82,2.24,95.86,,,0.0,1002.59,520.88,0.76,18.47,46.47,1.42
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 14:00,0.29,57.0,12.25,7.5,1.1,98.81,,,0.0,1001.87,484.25,0.76,19.34,45.13,2.27
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 15:00,0.28,56.0,10.43,6.4,0.95,101.57,,,0.0,1001.16,409.09,0.84,19.58,42.63,1.97
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 16:00,0.28,50.0,9.96,6.36,1.15,103.49,,,0.0,1000.49,298.61,0.8,19.54,43.09,1.68
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 17:00,0.3,54.0,-9999.0,-9999.0,-9999.0,101.57,,,0.0,1000.04,130.259,0.75,19.18,45.32,1.85
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 18:00,0.28,87.0,10.39,6.19,0.76,95.48,,,0.0,999.62,46.67,0.71,17.98,48.51,1.65
S_Nicola_di_Melfi,41.069444,15.7225,31/03/2021 19:00,0.28,107.0,13.41,7.84,0.83,74.7,,,0.0,999.56,6.63,0.57,15.89,56.01,0.69
