Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (µg/m³),Metano (ugC/m³),NMHC (ugC/m³),NO2 (µg/m³),NOx (µg/m³),NO (µg/m³),o-Xilene (µg/m³),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (hPa),Radiazione_Globale (W/m²),Radiazione_Netta (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s),Xilene (µg/m³)
Grumento3,40.313888,15.904444,27/08/2022 17:00,0.23,0.49,245.0,0.04,2.06,919.85,16.41,3.66,8.27,3.01,0.03,117.7,,,0.0,924.49,168.28,307.57,1.44,24.98,0.09,57.38,6.4,0.04
Grumento3,40.313888,15.904444,27/08/2022 18:00,0.2,0.48,244.0,0.04,-9999.0,935.05,13.51,2.37,4.19,1.19,0.03,118.41,,,0.0,924.66,49.76,42.18,1.51,23.06,0.09,64.22,6.18,0.03
Grumento3,40.313888,15.904444,27/08/2022 19:00,0.21,0.49,243.0,0.04,2.54,938.51,11.51,3.52,5.98,1.6,0.03,112.26,,,0.0,924.87,0.0,-9.53,1.85,21.63,0.1,72.44,4.63,0.03
Grumento3,40.313888,15.904444,27/08/2022 20:00,0.22,0.47,240.0,0.04,2.64,948.06,16.07,3.4,5.9,1.63,0.03,114.23,,,0.0,925.35,0.0,-27.05,2.0,20.76,0.09,74.03,5.42,0.03
Grumento3,40.313888,15.904444,27/08/2022 21:00,0.21,0.47,234.0,0.04,2.49,953.76,14.05,4.09,6.65,1.67,0.03,107.34,,,0.0,925.72,0.0,-25.92,2.61,20.21,0.1,76.86,4.51,0.03
Grumento3,40.313888,15.904444,27/08/2022 22:00,0.19,0.47,229.0,0.04,2.7,960.99,13.63,4.13,7.33,2.08,0.03,108.67,,,0.0,925.82,0.0,-24.48,2.45,19.38,0.09,81.65,3.63,0.03
Grumento3,40.313888,15.904444,27/08/2022 23:00,0.21,0.48,234.0,0.05,2.68,963.68,14.58,4.84,8.68,2.51,0.03,105.43,,,0.0,925.75,0.0,-23.71,3.03,19.08,0.1,83.19,2.7,0.03
Grumento3,40.313888,15.904444,28/08/2022 00:00,0.28,0.47,241.0,0.04,2.42,962.36,13.7,3.66,6.17,1.64,0.03,-9999.0,,,0.0,925.74,0.0,-21.93,2.71,18.65,0.1,85.34,3.37,0.04
Grumento3,40.313888,15.904444,28/08/2022 01:00,0.19,0.47,256.0,0.05,2.61,960.27,13.62,3.43,5.61,1.42,0.03,102.73,,,0.0,925.5,0.0,-21.54,2.79,18.55,0.1,85.35,3.12,0.03
Grumento3,40.313888,15.904444,28/08/2022 02:00,0.19,0.46,246.0,0.05,2.43,957.36,12.84,3.48,5.59,1.38,0.03,101.75,,,0.0,925.16,0.0,-20.43,2.68,18.07,0.1,87.5,3.51,0.03
Grumento3,40.313888,15.904444,28/08/2022 03:00,0.18,0.47,249.0,0.05,2.29,960.17,14.27,4.83,8.97,2.7,0.03,101.83,,,0.0,924.95,0.0,-23.71,3.02,17.94,0.1,87.13,2.27,0.03
Grumento3,40.313888,15.904444,28/08/2022 04:00,0.18,0.45,236.0,0.05,2.6,966.5,16.71,3.43,5.56,1.39,0.03,108.73,,,0.0,924.39,0.0,-21.21,2.76,18.18,0.1,82.44,2.54,0.03
Grumento3,40.313888,15.904444,28/08/2022 05:00,0.2,0.42,220.0,0.05,2.82,1038.01,9.65,3.87,6.84,1.93,0.03,100.77,,,0.0,924.15,0.0,-20.47,3.99,17.28,0.1,83.89,1.94,0.03
Grumento3,40.313888,15.904444,28/08/2022 06:00,0.19,0.42,241.0,0.05,2.74,1027.02,15.25,3.31,5.24,1.26,0.03,107.54,,,0.0,924.27,0.0,-11.18,4.26,17.74,0.1,82.82,2.59,0.03
Grumento3,40.313888,15.904444,28/08/2022 07:00,0.18,0.42,227.0,0.05,2.8,1033.24,22.39,8.78,21.7,8.42,0.03,95.75,,,0.0,924.09,40.01,-17.83,3.18,17.62,0.1,82.32,1.34,0.03
Grumento3,40.313888,15.904444,28/08/2022 08:00,0.22,0.38,41.0,0.05,3.03,1033.849,21.91,8.48,19.53,7.21,0.03,97.21,,,0.0,924.1,77.59,-6.53,2.62,18.92,0.1,78.15,1.39,0.03
Grumento3,40.313888,15.904444,28/08/2022 09:00,0.18,0.45,86.0,0.05,2.74,1041.599,21.01,7.55,16.47,5.82,0.03,89.41,,,0.0,923.73,191.85,85.7,2.29,21.23,0.1,72.93,0.84,0.03
