Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),Direzione_Vento (°N),NO2 (µg/m³),NOx (ppb),NO (ppb),O3 (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Umidità_Relativa (%),Velocità_Vento (m/s)
Melfi,40.983888,15.639722,30/01/2021 20:00,0.23,236.0,8.88,6.24,1.59,87.64,,0.0,939.61,0.17,1.35,10.99,48.12,2.0
Melfi,40.983888,15.639722,30/01/2021 21:00,0.32,229.0,9.35,6.67,1.79,82.83,,0.0,938.86,0.16,0.61,11.01,50.84,3.24
Melfi,40.983888,15.639722,30/01/2021 22:00,0.22,229.0,7.01,5.42,1.75,85.96,,0.0,938.41,0.17,0.55,11.22,47.36,3.81
Melfi,40.983888,15.639722,30/01/2021 23:00,0.2,228.0,7.46,5.61,1.7,86.74,,0.0,938.34,0.17,0.88,10.85,51.84,2.41
Melfi,40.983888,15.639722,31/01/2021 00:00,0.26,96.0,7.19,5.56,1.8,81.52,,0.0,937.57,0.17,2.34,10.14,58.92,1.66
Melfi,40.983888,15.639722,31/01/2021 01:00,0.29,244.0,6.7,4.84,1.33,81.17,,0.0,936.73,0.17,1.79,10.93,56.52,4.15
Melfi,40.983888,15.639722,31/01/2021 02:00,0.29,230.0,5.28,4.39,1.63,-9999.0,,0.0,935.32,0.18,1.09,12.42,53.02,6.0
Melfi,40.983888,15.639722,31/01/2021 03:00,0.29,227.0,4.97,4.26,1.66,85.59,,0.0,934.66,0.16,0.66,12.18,58.73,5.29
Melfi,40.983888,15.639722,31/01/2021 04:00,0.62,185.0,4.47,3.9,1.57,84.73,,0.0,933.61,0.16,0.31,12.3,62.4,4.72
Melfi,40.983888,15.639722,31/01/2021 05:00,0.69,183.0,4.74,4.12,1.65,83.38,,0.0,932.6,0.17,0.94,12.19,66.4,4.76
Melfi,40.983888,15.639722,31/01/2021 06:00,0.83,221.0,4.92,4.15,1.57,80.32,,0.2,931.66,0.16,0.76,11.62,70.18,5.96
Melfi,40.983888,15.639722,31/01/2021 07:00,0.88,220.0,4.01,3.57,1.47,84.9,,0.4,931.46,0.16,1.17,11.04,69.62,5.23
Melfi,40.983888,15.639722,31/01/2021 08:00,0.86,222.0,4.2,3.72,1.52,85.29,,0.2,931.02,4.81,1.14,10.66,68.08,6.62
Melfi,40.983888,15.639722,31/01/2021 09:00,1.01,245.0,6.24,5.28,2.02,81.73,,0.0,931.64,39.64,1.18,10.4,72.23,5.91
Melfi,40.983888,15.639722,31/01/2021 10:00,0.91,271.0,9.84,7.09,1.95,77.71,,0.8,932.6,66.44,2.33,8.34,82.93,5.1
Melfi,40.983888,15.639722,31/01/2021 11:00,1.02,246.0,5.45,4.38,1.53,78.74,,0.2,932.78,215.49,2.19,8.14,81.9,3.91
Melfi,40.983888,15.639722,31/01/2021 12:00,1.01,248.0,4.75,4.38,1.89,76.92,,0.0,932.65,171.49,3.0,9.22,71.69,3.71
Melfi,40.983888,15.639722,31/01/2021 13:00,0.9,333.0,5.96,5.0,1.89,77.35,,0.0,932.23,210.3,2.0,10.21,68.15,1.06
Melfi,40.983888,15.639722,31/01/2021 14:00,0.91,283.0,5.26,4.5,1.75,79.82,,0.0,931.83,278.94,3.59,10.93,65.39,2.12
Melfi,40.983888,15.639722,31/01/2021 15:00,1.01,269.0,5.86,4.87,1.81,76.7,,0.0,931.56,185.41,3.76,10.68,67.08,2.33
Melfi,40.983888,15.639722,31/01/2021 16:00,0.62,273.0,6.78,5.25,1.7,78.14,,0.0,931.65,76.79,2.18,10.06,70.44,2.59
Melfi,40.983888,15.639722,31/01/2021 17:00,0.63,271.0,6.22,5.0,1.75,77.53,,0.0,931.5,47.1,1.83,9.42,75.21,3.08
Melfi,40.983888,15.639722,31/01/2021 18:00,0.62,279.0,6.02,4.5,1.35,78.1,,0.0,931.74,1.56,2.96,9.16,73.93,2.46
Melfi,40.983888,15.639722,31/01/2021 19:00,0.66,279.0,7.11,5.34,1.62,79.84,,0.0,932.05,0.16,2.63,8.8,74.71,4.0
Melfi,40.983888,15.639722,31/01/2021 20:00,0.66,284.0,6.99,5.33,1.67,76.58,,0.0,932.62,0.16,2.41,8.26,78.77,2.85
Melfi,40.983888,15.639722,31/01/2021 21:00,0.63,291.0,5.93,4.67,1.57,77.46,,0.0,932.8,0.16,1.29,7.8,79.41,1.9
Melfi,40.983888,15.639722,31/01/2021 22:00,0.53,285.0,5.51,4.55,1.67,77.92,,0.0,933.11,0.17,2.38,7.97,75.94,2.029
Melfi,40.983888,15.639722,31/01/2021 23:00,0.55,293.0,6.11,5.04,1.84,75.8,,0.0,933.3,0.16,1.73,7.66,75.92,1.32
Melfi,40.983888,15.639722,01/02/2021 00:00,0.64,287.0,4.88,4.3,1.74,67.06,,1.6,933.78,0.17,1.94,7.6,79.52,0.54
Melfi,40.983888,15.639722,01/02/2021 01:00,0.64,199.0,5.27,4.29,1.53,-9999.0,,0.4,933.77,0.17,1.39,6.95,87.95,0.58
Melfi,40.983888,15.639722,01/02/2021 02:00,0.66,242.0,4.66,3.89,1.46,53.48,,0.0,933.73,0.16,1.81,6.54,91.01,0.43
Melfi,40.983888,15.639722,01/02/2021 03:00,0.7,348.0,4.44,3.81,1.49,56.59,,0.0,933.79,0.16,0.85,6.66,92.19,0.55
Melfi,40.983888,15.639722,01/02/2021 04:00,0.59,272.0,4.37,3.73,1.44,69.17,,0.2,934.03,0.16,1.32,7.01,91.7,1.62
Melfi,40.983888,15.639722,01/02/2021 05:00,0.68,265.0,4.67,3.85,1.41,64.68,,0.0,934.25,0.16,0.79,6.52,90.41,1.3
Melfi,40.983888,15.639722,01/02/2021 06:00,0.62,272.0,7.06,4.93,1.23,60.74,,0.0,934.32,0.16,0.8,6.5,89.72,1.65
Melfi,40.983888,15.639722,01/02/2021 07:00,0.72,185.0,9.57,7.03,2.02,46.61,,0.0,934.73,0.16,1.29,5.3,91.13,1.07
Melfi,40.983888,15.639722,01/02/2021 08:00,0.82,230.0,17.05,12.42,3.5,25.06,,0.0,935.18,21.9,3.31,5.27,92.98,0.3
Melfi,40.983888,15.639722,01/02/2021 09:00,0.82,117.0,26.02,19.85,6.25,25.18,,0.0,935.62,85.07,2.24,6.1,94.21,0.88
Melfi,40.983888,15.639722,01/02/2021 10:00,0.8,3.0,23.82,18.33,5.87,38.93,,0.0,935.91,212.8,2.58,7.72,94.95,0.69
Melfi,40.983888,15.639722,01/02/2021 11:00,0.8,88.0,19.8,14.5,4.16,49.18,,0.0,936.38,187.24,5.29,8.92,92.39,0.74
Melfi,40.983888,15.639722,01/02/2021 12:00,0.69,80.0,9.09,7.47,2.71,61.68,,0.0,936.19,420.39,3.88,10.17,84.76,1.22
Melfi,40.983888,15.639722,01/02/2021 13:00,0.76,271.0,8.23,6.83,2.52,68.88,,0.0,935.86,454.26,2.7,11.96,70.69,2.61
Melfi,40.983888,15.639722,01/02/2021 14:00,0.69,273.0,7.44,5.44,1.55,75.23,,0.0,935.67,284.79,1.71,11.88,67.39,3.96
Melfi,40.983888,15.639722,01/02/2021 15:00,0.71,272.0,6.79,4.95,1.39,78.0,,0.0,935.68,272.21,1.35,12.06,65.11,3.65
Melfi,40.983888,15.639722,01/02/2021 16:00,0.44,278.0,7.13,5.39,1.66,76.92,,0.0,936.05,135.69,1.3,11.82,65.71,3.04
Melfi,40.983888,15.639722,01/02/2021 17:00,0.46,278.0,7.03,6.71,3.05,70.91,,0.0,936.43,39.09,2.62,11.23,68.9,2.029
Melfi,40.983888,15.639722,01/02/2021 18:00,0.51,269.0,7.15,5.32,1.58,69.98,,0.0,936.86,0.8,2.03,10.16,73.58,2.45
Melfi,40.983888,15.639722,01/02/2021 19:00,0.54,271.0,5.55,4.33,1.43,69.55,,0.4,937.62,0.17,1.45,9.37,79.7,1.6
Melfi,40.983888,15.639722,01/02/2021 20:00,0.42,272.0,6.05,4.67,1.5,64.21,,0.0,938.2,0.17,3.73,8.79,86.48,2.21
Melfi,40.983888,15.639722,01/02/2021 21:00,0.5,269.0,6.41,4.92,1.57,65.43,,0.0,938.82,0.17,3.51,8.74,87.3,2.54
Melfi,40.983888,15.639722,01/02/2021 22:00,0.45,282.0,7.17,5.27,1.52,63.55,,0.0,939.19,0.17,3.61,8.44,88.39,2.11
Melfi,40.983888,15.639722,01/02/2021 23:00,0.54,261.0,5.58,4.62,1.7,74.08,,0.0,939.19,0.17,2.81,9.3,79.3,2.85
Melfi,40.983888,15.639722,02/02/2021 00:00,0.57,289.0,5.58,4.37,1.46,-9999.0,,0.0,939.54,0.18,2.75,9.4,76.59,1.65
Melfi,40.983888,15.639722,02/02/2021 01:00,0.63,287.0,6.56,5.01,1.59,58.64,,0.0,939.74,0.16,2.06,8.51,84.83,1.16
Melfi,40.983888,15.639722,02/02/2021 02:00,0.58,260.0,4.81,4.07,1.56,65.26,,0.0,939.88,0.17,1.48,8.53,85.69,1.48
Melfi,40.983888,15.639722,02/02/2021 03:00,0.58,264.0,5.36,4.18,1.38,72.08,,0.2,940.31,0.17,1.42,8.64,83.91,2.1
Melfi,40.983888,15.639722,02/02/2021 04:00,0.75,263.0,4.66,3.83,1.39,71.76,,0.4,940.71,0.16,1.1,8.72,84.1,1.7
Melfi,40.983888,15.639722,02/02/2021 05:00,0.86,262.0,5.03,4.27,1.64,75.21,,0.6,941.38,0.16,1.34,8.4,88.89,2.14
Melfi,40.983888,15.639722,02/02/2021 06:00,0.73,270.0,4.48,4.0,1.66,68.07,,0.4,941.98,0.16,1.42,8.189,90.26,1.24
Melfi,40.983888,15.639722,02/02/2021 07:00,0.8,289.0,4.91,4.15,1.58,58.53,,0.0,942.79,0.17,1.44,8.1,91.05,1.07
Melfi,40.983888,15.639722,02/02/2021 08:00,0.8,322.0,9.34,6.57,1.69,55.61,,0.0,943.78,8.09,3.47,7.9,91.57,1.1
Melfi,40.983888,15.639722,02/02/2021 09:00,0.98,300.0,9.54,6.84,1.85,50.6,,0.0,944.82,37.99,2.27,7.5,93.08,1.31
Melfi,40.983888,15.639722,02/02/2021 10:00,0.83,286.0,8.6,6.16,1.66,51.01,,0.0,945.87,82.47,1.76,8.02,93.69,1.17
Melfi,40.983888,15.639722,02/02/2021 11:00,0.81,291.0,7.9,5.9,1.76,57.36,,0.0,946.46,103.83,2.24,8.53,92.86,0.91
Melfi,40.983888,15.639722,02/02/2021 12:00,0.92,351.0,10.57,7.33,1.8,62.06,,0.0,946.64,111.94,2.38,9.04,91.9,1.51
Melfi,40.983888,15.639722,02/02/2021 13:00,0.95,348.0,10.72,7.32,1.71,63.82,,0.0,947.12,61.96,1.66,9.49,90.8,1.45
Melfi,40.983888,15.639722,02/02/2021 14:00,0.94,306.0,7.87,5.97,1.92,59.5,,0.2,947.67,29.86,1.86,9.54,91.57,0.91
Melfi,40.983888,15.639722,02/02/2021 15:00,1.0,216.0,14.84,9.92,2.16,59.98,,0.2,947.72,120.76,2.44,10.15,92.45,0.47
Melfi,40.983888,15.639722,02/02/2021 16:00,0.8,260.0,7.43,5.68,1.79,69.01,,0.0,947.86,111.86,2.52,10.99,87.13,0.47
Melfi,40.983888,15.639722,02/02/2021 17:00,0.93,332.0,15.4,10.76,2.71,45.4,,0.0,948.46,25.19,3.95,10.39,83.84,0.28
Melfi,40.983888,15.639722,02/02/2021 18:00,0.86,219.0,7.23,5.61,1.83,38.0,,0.0,949.16,1.91,3.09,8.02,89.31,1.25
Melfi,40.983888,15.639722,02/02/2021 19:00,0.78,219.0,9.82,8.67,3.54,41.97,,0.0,949.95,0.18,2.94,8.029,90.67,1.7
Melfi,40.983888,15.639722,02/02/2021 20:00,0.86,211.0,7.27,6.72,2.92,40.79,,0.0,950.13,0.19,3.42,6.46,91.05,1.16
Melfi,40.983888,15.639722,02/02/2021 21:00,0.94,218.0,6.36,5.31,1.99,44.84,,0.0,950.35,0.18,2.62,6.14,92.3,1.84
Melfi,40.983888,15.639722,02/02/2021 22:00,0.97,215.0,6.23,5.29,2.03,46.22,,0.0,950.56,0.19,2.01,5.92,91.91,1.65
Melfi,40.983888,15.639722,02/02/2021 23:00,0.97,222.0,8.03,6.88,2.69,-9999.0,,0.0,950.5,0.2,2.81,5.91,91.2,1.71
Melfi,40.983888,15.639722,03/02/2021 00:00,0.93,217.0,7.45,6.06,2.17,47.88,,0.0,950.84,0.18,2.49,5.77,90.5,1.35
Melfi,40.983888,15.639722,03/02/2021 01:00,0.76,261.0,7.07,5.41,1.71,69.8,,0.0,950.9,0.18,1.04,8.029,81.9,3.0
Melfi,40.983888,15.639722,03/02/2021 02:00,0.72,261.0,7.01,5.42,1.75,70.93,,0.0,951.09,0.18,0.64,9.01,73.65,2.82
Melfi,40.983888,15.639722,03/02/2021 03:00,0.66,265.0,6.87,5.18,1.59,74.48,,0.0,951.0,0.18,0.78,9.47,68.36,2.85
Melfi,40.983888,15.639722,03/02/2021 04:00,0.68,281.0,10.1,7.11,1.82,73.71,,0.0,950.65,0.18,1.17,9.35,68.97,3.62
Melfi,40.983888,15.639722,03/02/2021 05:00,0.87,286.0,10.07,6.92,1.65,69.2,,0.0,950.19,0.18,0.25,8.51,72.55,2.97
Melfi,40.983888,15.639722,03/02/2021 06:00,0.89,269.0,9.99,6.88,1.65,70.43,,0.0,950.73,0.18,0.33,8.66,74.09,4.52
Melfi,40.983888,15.639722,03/02/2021 07:00,0.95,278.0,9.36,6.86,1.96,70.9,,0.0,951.5,0.18,0.89,8.62,76.75,3.69
Melfi,40.983888,15.639722,03/02/2021 08:00,0.89,274.0,8.84,6.44,1.82,69.51,,0.0,952.03,34.81,2.42,8.74,75.47,3.59
Melfi,40.983888,15.639722,03/02/2021 09:00,0.94,266.0,8.36,6.48,2.11,68.45,,0.0,952.12,117.77,1.19,9.6,72.27,3.6
Melfi,40.983888,15.639722,03/02/2021 10:00,0.96,274.0,8.02,6.17,1.97,70.59,,0.0,952.85,366.34,0.67,11.54,64.269,2.86
Melfi,40.983888,15.639722,03/02/2021 11:00,1.09,259.0,8.55,6.44,1.97,77.57,,0.0,952.95,473.05,2.45,12.76,59.75,4.55
Melfi,40.983888,15.639722,03/02/2021 12:00,0.99,265.0,7.26,5.64,1.85,79.73,,0.0,952.43,557.22,2.29,13.32,60.05,4.45
Melfi,40.983888,15.639722,03/02/2021 13:00,1.39,267.0,10.79,8.24,2.6,80.31,,0.0,952.08,566.86,1.9,14.35,59.59,3.99
Melfi,40.983888,15.639722,03/02/2021 14:00,1.18,268.0,7.36,5.62,1.77,82.67,,0.0,951.53,513.789,1.4,15.18,56.86,3.17
Melfi,40.983888,15.639722,03/02/2021 15:00,1.15,267.0,7.53,5.6,1.67,85.28,,0.0,951.46,408.47,0.74,14.92,57.43,4.43
Melfi,40.983888,15.639722,03/02/2021 16:00,0.41,253.0,7.92,6.13,1.99,83.54,,0.0,951.27,266.13,0.25,14.34,61.21,5.7
Melfi,40.983888,15.639722,03/02/2021 17:00,0.35,249.0,6.56,5.13,1.7,83.16,,0.0,951.29,60.41,1.13,12.76,66.1,6.51
Melfi,40.983888,15.639722,03/02/2021 18:00,-9999.0,253.0,4.31,11.49,9.19,77.81,,0.0,951.49,1.58,2.09,11.77,68.05,3.88
Melfi,40.983888,15.639722,03/02/2021 19:00,0.7,278.0,3.82,3.4,1.4,76.09,,0.0,951.82,0.01,2.34,10.73,71.37,3.3
Melfi,40.983888,15.639722,03/02/2021 20:00,0.39,288.0,5.49,4.03,1.16,64.41,,0.0,951.65,0.01,2.65,10.04,73.01,2.12
Melfi,40.983888,15.639722,03/02/2021 21:00,0.04,251.0,6.27,4.52,1.24,72.42,,0.0,951.67,0.08,5.72,9.85,74.64,4.17
Melfi,40.983888,15.639722,03/02/2021 22:00,0.03,259.0,5.65,4.39,1.44,-9999.0,,0.0,951.23,0.05,2.38,10.46,71.34,6.96
Melfi,40.983888,15.639722,03/02/2021 23:00,0.03,260.0,6.56,4.72,1.28,73.39,,0.0,951.16,0.01,1.67,10.64,68.98,6.78
Melfi,40.983888,15.639722,04/02/2021 00:00,0.03,256.0,6.19,4.41,1.17,75.75,,0.0,951.03,0.01,0.99,11.56,62.17,8.36
Melfi,40.983888,15.639722,04/02/2021 01:00,0.03,260.0,5.77,4.43,1.41,76.3,,0.0,950.72,0.01,2.4,11.7,60.61,8.45
Melfi,40.983888,15.639722,04/02/2021 02:00,0.03,259.0,4.39,3.49,1.2,76.73,,0.0,950.88,0.01,0.47,11.82,59.15,7.21
Melfi,40.983888,15.639722,04/02/2021 03:00,0.03,253.0,4.44,3.5,1.18,79.01,,0.0,951.19,0.01,1.03,11.85,57.73,6.29
Melfi,40.983888,15.639722,04/02/2021 04:00,0.23,254.0,4.62,3.49,1.07,81.81,,0.0,950.83,0.01,0.23,11.06,63.33,7.17
Melfi,40.983888,15.639722,04/02/2021 05:00,0.33,240.0,3.96,3.17,1.11,80.64,,0.0,950.81,0.01,0.17,10.74,68.43,6.02
Melfi,40.983888,15.639722,04/02/2021 06:00,0.27,254.0,4.39,3.49,1.19,80.06,,0.0,950.87,0.0,0.94,11.14,67.72,6.71
Melfi,40.983888,15.639722,04/02/2021 07:00,0.34,255.0,5.22,3.93,1.2,79.17,,0.0,951.25,0.04,1.26,11.17,68.28,6.53
Melfi,40.983888,15.639722,04/02/2021 08:00,0.35,236.0,4.13,3.55,1.39,78.2,,0.0,951.68,17.5,2.35,11.85,63.31,5.58
Melfi,40.983888,15.639722,04/02/2021 09:00,0.33,247.0,5.05,4.06,1.42,77.54,,0.0,952.29,69.6,2.56,11.49,67.08,5.06
Melfi,40.983888,15.639722,04/02/2021 10:00,0.38,228.0,5.08,4.21,1.55,75.38,,0.0,952.8,190.06,1.0,12.3,62.6,3.5
Melfi,40.983888,15.639722,04/02/2021 11:00,0.43,227.0,4.64,3.79,1.36,77.4,,0.0,953.48,322.01,1.82,13.51,58.9,3.09
Melfi,40.983888,15.639722,04/02/2021 12:00,0.53,213.0,6.71,5.05,1.55,76.75,,0.0,953.51,339.09,1.99,14.21,57.5,1.96
Melfi,40.983888,15.639722,04/02/2021 13:00,0.6,268.0,7.39,5.42,1.56,80.47,,0.0,953.27,626.06,1.75,15.64,54.54,3.75
Melfi,40.983888,15.639722,04/02/2021 14:00,0.64,285.0,6.3,4.54,1.25,79.72,,0.0,952.83,533.11,0.63,17.66,43.52,2.93
Melfi,40.983888,15.639722,04/02/2021 15:00,0.63,285.0,7.55,5.38,1.43,82.93,,0.0,952.96,348.16,1.9,17.29,47.57,2.76
Melfi,40.983888,15.639722,04/02/2021 16:00,0.13,296.0,7.57,5.48,1.52,82.29,,0.0,953.08,183.55,1.9,16.98,47.35,1.48
Melfi,40.983888,15.639722,04/02/2021 17:00,0.1,210.0,10.27,7.0,1.63,67.08,,0.0,953.31,48.12,2.43,15.24,55.78,0.65
Melfi,40.983888,15.639722,04/02/2021 18:00,0.1,177.0,13.74,9.46,2.28,52.29,,0.0,953.73,3.11,3.97,12.1,69.9,1.04
Melfi,40.983888,15.639722,04/02/2021 19:00,0.09,164.0,15.87,10.98,2.67,41.26,,0.0,954.13,0.01,2.23,10.24,77.4,0.74
Melfi,40.983888,15.639722,04/02/2021 20:00,0.1,172.0,18.6,13.86,4.14,36.32,,0.0,954.13,0.02,2.86,8.75,83.49,0.85
Melfi,40.983888,15.639722,04/02/2021 21:00,0.1,172.0,27.34,16.81,2.51,-9999.0,,0.0,953.91,0.02,3.19,8.46,83.56,0.73
Melfi,40.983888,15.639722,04/02/2021 22:00,0.05,215.0,17.77,11.21,1.92,38.27,,0.0,953.74,0.01,2.09,8.54,79.87,1.55
Melfi,40.983888,15.639722,04/02/2021 23:00,0.06,221.0,11.38,9.11,3.16,47.47,,0.0,953.7,0.01,1.51,8.77,75.78,1.63
Melfi,40.983888,15.639722,05/02/2021 00:00,0.06,222.0,11.79,7.77,1.61,43.14,,0.0,953.43,0.01,1.63,8.73,75.69,1.89
Melfi,40.983888,15.639722,05/02/2021 01:00,0.04,233.0,8.54,5.71,1.24,47.44,,0.0,953.3,0.0,2.44,9.05,69.71,1.28
Melfi,40.983888,15.639722,05/02/2021 02:00,0.06,219.0,11.13,7.29,1.47,49.03,,0.0,953.18,0.0,2.82,9.8,63.24,1.43
Melfi,40.983888,15.639722,05/02/2021 03:00,0.03,226.0,31.45,19.6,3.14,14.0,,0.0,952.88,0.0,4.19,9.81,56.96,1.26
Melfi,40.983888,15.639722,05/02/2021 04:00,0.65,223.0,18.61,11.57,1.84,35.14,,0.0,952.26,0.0,3.44,10.86,47.07,1.98
Melfi,40.983888,15.639722,05/02/2021 05:00,0.67,225.0,8.02,5.91,1.72,47.32,,0.0,952.08,0.0,3.21,11.32,42.4,2.55
Melfi,40.983888,15.639722,05/02/2021 06:00,0.66,232.0,7.25,4.98,1.18,65.34,,0.0,952.48,0.0,2.59,11.91,43.66,2.32
Melfi,40.983888,15.639722,05/02/2021 07:00,0.5,215.0,6.14,4.6,1.39,56.57,,0.0,952.54,0.0,1.04,11.28,38.57,2.14
Melfi,40.983888,15.639722,05/02/2021 08:00,0.46,222.0,7.78,6.97,2.91,55.88,,0.0,952.72,39.08,2.58,11.37,37.21,2.009
Melfi,40.983888,15.639722,05/02/2021 09:00,0.39,251.0,10.31,7.64,2.25,65.79,,0.0,953.18,139.64,1.42,14.76,33.05,2.25
Melfi,40.983888,15.639722,05/02/2021 10:00,0.54,293.0,9.84,7.21,2.06,74.04,,0.0,953.34,276.53,1.66,17.19,30.12,1.66
Melfi,40.983888,15.639722,05/02/2021 11:00,0.8,264.0,16.17,11.87,3.42,67.55,,0.0,953.43,529.87,2.63,17.99,33.86,1.99
Melfi,40.983888,15.639722,05/02/2021 12:00,0.84,286.0,8.43,5.9,1.49,78.94,,0.0,953.19,560.14,2.19,19.63,28.88,2.12
Melfi,40.983888,15.639722,05/02/2021 13:00,0.72,351.0,5.25,4.3,1.55,84.71,,0.0,952.69,577.56,1.59,20.19,28.78,1.32
Melfi,40.983888,15.639722,05/02/2021 14:00,0.88,78.0,8.44,6.16,1.74,83.79,,0.0,952.11,522.57,0.71,19.54,38.89,1.65
Melfi,40.983888,15.639722,05/02/2021 15:00,0.94,98.0,9.3,6.8,1.94,71.21,,0.0,952.07,402.17,0.7,18.09,52.97,1.68
Melfi,40.983888,15.639722,05/02/2021 16:00,0.38,90.0,9.78,7.54,2.43,67.06,,0.0,951.94,258.93,1.52,17.18,56.24,1.49
Melfi,40.983888,15.639722,05/02/2021 17:00,0.4,31.0,12.84,8.97,2.25,61.19,,0.0,952.01,83.2,3.93,16.63,56.45,0.34
Melfi,40.983888,15.639722,05/02/2021 18:00,0.38,242.0,16.78,11.34,2.58,43.7,,0.0,952.02,1.92,3.29,13.37,61.42,1.19
Melfi,40.983888,15.639722,05/02/2021 19:00,0.43,253.0,14.53,9.7,2.1,57.15,,0.0,952.08,0.01,3.11,13.14,52.5,1.62
Melfi,40.983888,15.639722,05/02/2021 20:00,0.34,226.0,15.73,11.13,2.91,-9999.0,,0.0,952.08,0.02,3.29,12.38,57.44,1.33
Melfi,40.983888,15.639722,05/02/2021 21:00,0.36,226.0,12.57,8.44,1.86,50.06,,0.0,951.98,0.0,5.05,10.86,62.38,1.2
Melfi,40.983888,15.639722,05/02/2021 22:00,0.27,226.0,9.3,6.74,1.88,58.22,,0.0,952.15,0.01,2.47,11.14,53.84,1.85
Melfi,40.983888,15.639722,05/02/2021 23:00,0.2,223.0,11.87,8.43,2.22,61.44,,0.0,951.9,0.0,1.26,11.29,51.34,1.01
Melfi,40.983888,15.639722,06/02/2021 00:00,0.21,235.0,10.46,6.84,1.37,58.38,,0.0,951.65,0.0,1.42,10.67,53.68,1.14
Melfi,40.983888,15.639722,06/02/2021 01:00,0.21,259.0,8.96,5.88,1.19,64.91,,0.0,951.47,0.0,1.34,11.13,48.77,1.6
Melfi,40.983888,15.639722,06/02/2021 02:00,0.16,287.0,8.98,5.95,1.25,67.39,,0.0,951.36,0.0,0.81,11.94,44.84,1.0
Melfi,40.983888,15.639722,06/02/2021 03:00,0.1,151.0,7.98,5.82,1.65,67.0,,0.0,951.18,0.0,0.92,12.63,42.02,0.73
Melfi,40.983888,15.639722,06/02/2021 04:00,0.15,273.0,8.53,6.06,1.6,76.48,,0.0,950.89,0.0,0.75,13.0,40.94,1.31
Melfi,40.983888,15.639722,06/02/2021 05:00,0.12,277.0,7.16,5.0,1.25,69.67,,0.0,950.92,0.0,0.63,10.96,47.4,1.11
Melfi,40.983888,15.639722,06/02/2021 06:00,0.15,254.0,8.3,6.07,1.73,72.57,,0.0,950.84,0.0,0.36,11.47,46.46,1.96
Melfi,40.983888,15.639722,06/02/2021 07:00,0.14,264.0,9.14,6.26,1.48,78.88,,0.0,950.82,0.01,0.99,12.24,44.62,1.95
Melfi,40.983888,15.639722,06/02/2021 08:00,0.17,319.0,22.18,20.24,8.67,61.49,,0.0,950.75,36.44,1.86,11.4,48.51,0.43
Melfi,40.983888,15.639722,06/02/2021 09:00,0.19,72.0,20.1,15.3,4.78,62.71,,0.0,951.0,144.52,2.83,13.24,45.87,0.71
Melfi,40.983888,15.639722,06/02/2021 10:00,0.27,11.0,21.61,15.42,4.12,66.7,,0.0,950.49,367.61,2.33,15.81,42.05,0.8
Melfi,40.983888,15.639722,06/02/2021 11:00,0.51,2.0,13.99,9.68,2.36,77.73,,0.0,950.46,470.86,2.95,17.76,36.07,1.23
Melfi,40.983888,15.639722,06/02/2021 12:00,0.45,356.0,9.23,6.65,1.82,86.6,,0.0,950.5,565.29,0.44,19.19,32.27,1.71
Melfi,40.983888,15.639722,06/02/2021 13:00,0.34,271.0,8.25,5.89,1.57,86.55,,0.0,950.04,539.0,2.06,20.33,28.16,3.01
Melfi,40.983888,15.639722,06/02/2021 14:00,0.28,271.0,7.48,5.41,1.5,88.94,,0.0,948.98,455.07,1.65,20.95,26.58,2.92
Melfi,40.983888,15.639722,06/02/2021 15:00,0.2,299.0,5.58,4.21,1.3,86.86,,0.0,948.48,415.9,3.02,21.42,26.03,1.82
Melfi,40.983888,15.639722,06/02/2021 16:00,0.25,32.0,7.17,5.27,1.52,91.14,,0.0,948.42,259.76,2.88,20.37,34.52,1.09
Melfi,40.983888,15.639722,06/02/2021 17:00,0.44,221.0,24.83,22.3,9.33,60.61,,0.0,948.28,79.59,3.63,18.34,42.45,1.27
Melfi,40.983888,15.639722,06/02/2021 18:00,0.28,230.0,12.86,11.18,4.47,53.49,,0.0,948.31,2.98,3.42,14.62,46.85,2.15
Melfi,40.983888,15.639722,06/02/2021 19:00,0.1,226.0,8.56,6.56,2.09,-9999.0,,0.0,948.39,0.02,3.85,13.19,45.0,2.39
Melfi,40.983888,15.639722,06/02/2021 20:00,0.14,227.0,10.83,8.19,2.53,63.16,,0.0,947.95,0.01,3.22,13.34,41.67,1.36
Melfi,40.983888,15.639722,06/02/2021 21:00,0.19,143.0,14.95,9.72,1.9,65.83,,0.0,947.53,0.0,3.4,13.87,40.55,0.96
Melfi,40.983888,15.639722,06/02/2021 22:00,0.18,144.0,14.49,9.42,1.84,69.64,,0.0,947.07,0.0,3.72,14.71,37.98,0.91
Melfi,40.983888,15.639722,06/02/2021 23:00,0.04,227.0,7.12,5.61,1.9,72.49,,0.0,946.74,0.0,3.5,18.25,24.74,2.26
Melfi,40.983888,15.639722,07/02/2021 00:00,0.08,315.0,8.51,6.01,1.56,78.59,,0.0,946.94,0.0,4.37,15.42,35.13,1.52
Melfi,40.983888,15.639722,07/02/2021 01:00,0.05,225.0,5.23,4.5,1.77,74.08,,0.0,946.63,0.0,2.13,17.3,26.45,2.05
