Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Pisticci,40.420277,16.548333,18/07/2021 11:00,1.11,0.13,337.29,0.59,0.04,1.84,0.36,2.88,2.24,0.78,0.06,108.74,0.03,,0.0,996.86,637.54,2.22,31.02,0.27,53.67,1.12
Pisticci,40.420277,16.548333,18/07/2021 12:00,1.13,0.12,337.24,0.36,0.07,1.84,0.35,2.79,2.15,0.72,0.13,112.22,0.1,,0.0,996.36,1007.95,0.75,32.97,0.19,49.44,1.18
Pisticci,40.420277,16.548333,18/07/2021 13:00,1.22,0.12,336.49,0.31,0.04,1.83,0.36,2.88,2.18,0.68,0.26,115.78,0.05,,0.0,995.66,1033.15,1.15,34.77,0.25,42.01,1.33
Pisticci,40.420277,16.548333,18/07/2021 14:00,1.47,0.12,337.31,0.3,0.08,1.83,0.36,3.82,2.81,0.84,0.17,120.07,0.05,,0.0,995.57,457.96,1.33,32.86,0.23,45.08,1.6
Pisticci,40.420277,16.548333,18/07/2021 15:00,1.32,0.15,112.02,0.2,0.56,1.84,0.37,4.61,2.79,0.43,0.19,117.93,0.11,,0.0,997.08,57.61,0.03,25.77,0.21,67.67,2.12
Pisticci,40.420277,16.548333,18/07/2021 16:00,0.67,0.13,246.64,0.14,0.05,1.84,0.36,5.31,3.37,0.64,0.27,108.76,0.06,,0.0,997.45,8.46,0.12,24.42,0.28,76.04,1.26
Pisticci,40.420277,16.548333,18/07/2021 17:00,0.87,0.13,247.36,0.13,0.09,1.85,0.36,6.68,4.31,0.86,0.11,101.63,0.07,,9.8,998.09,5.81,-9999.0,23.28,0.18,80.43,0.99
Pisticci,40.420277,16.548333,18/07/2021 18:00,1.05,0.14,248.12,0.08,0.15,-9999.0,-9999.0,5.56,3.75,0.83,0.14,83.48,0.1,,1.0,997.95,38.04,0.65,21.59,0.16,95.6,0.6
Pisticci,40.420277,16.548333,18/07/2021 19:00,1.22,-9999.0,247.95,0.18,0.04,1.84,0.36,6.15,4.05,0.86,0.04,73.81,0.04,,0.4,998.52,7.62,0.78,21.97,0.35,99.91,0.41
Pisticci,40.420277,16.548333,18/07/2021 20:00,0.99,0.13,336.38,0.22,0.22,1.84,0.36,5.82,-9999.0,-9999.0,0.1,78.21,0.11,,0.0,998.4,0.0,1.27,20.81,0.52,99.99,0.36
Pisticci,40.420277,16.548333,18/07/2021 21:00,1.27,0.14,269.47,0.31,0.04,1.84,0.36,5.87,4.16,1.07,0.16,64.47,0.08,,0.0,998.39,0.0,1.27,20.44,0.36,99.99,0.38
Pisticci,40.420277,16.548333,18/07/2021 22:00,1.25,0.14,248.93,0.29,0.1,1.88,0.36,7.13,5.01,1.28,0.07,49.28,0.09,,0.0,998.33,0.0,1.61,20.93,0.39,99.99,0.59
Pisticci,40.420277,16.548333,18/07/2021 23:00,1.12,0.14,269.16,0.62,0.13,1.85,0.36,4.64,3.54,1.17,0.04,57.23,0.1,,0.0,998.56,0.0,1.99,21.58,0.38,99.99,0.71
Pisticci,40.420277,16.548333,19/07/2021 00:00,1.2,0.14,248.28,0.62,0.04,1.93,0.37,4.68,3.84,1.37,0.03,47.41,0.03,,0.0,998.66,0.0,1.15,21.67,0.39,99.99,0.56
Pisticci,40.420277,16.548333,19/07/2021 01:00,1.24,0.14,248.12,0.56,0.15,1.9,0.36,5.33,4.05,1.25,0.04,45.81,0.04,,0.0,998.54,0.0,1.53,21.77,0.31,99.99,0.8
Pisticci,40.420277,16.548333,19/07/2021 02:00,1.21,0.15,157.25,0.36,0.06,2.12,0.4,5.62,4.22,1.3,0.08,41.96,0.08,,0.2,998.32,0.0,0.92,21.87,0.36,99.99,0.23
Pisticci,40.420277,16.548333,19/07/2021 03:00,1.16,0.15,269.18,0.62,0.05,1.93,0.37,5.55,4.33,1.41,0.05,51.42,0.05,,0.0,998.23,0.0,0.83,22.07,0.41,99.99,0.45
Pisticci,40.420277,16.548333,19/07/2021 04:00,1.22,0.15,314.82,0.4,0.06,1.93,0.37,4.96,3.77,1.21,0.13,50.3,0.04,,0.0,998.29,0.0,2.68,22.06,0.81,99.99,0.55
Pisticci,40.420277,16.548333,19/07/2021 05:00,1.17,0.15,224.6,0.34,0.1,1.92,0.37,7.75,5.72,1.64,0.07,46.94,0.04,,0.0,998.48,0.65,1.7,21.92,0.7,99.99,0.32
Pisticci,40.420277,16.548333,19/07/2021 06:00,1.24,0.17,247.86,0.07,0.05,1.86,0.35,10.63,7.54,1.97,0.06,47.23,0.09,,0.0,998.76,80.58,1.3,23.32,0.38,99.99,0.42
Pisticci,40.420277,16.548333,19/07/2021 07:00,0.97,0.17,247.56,0.45,0.09,1.91,0.37,8.85,6.43,1.8,0.13,61.33,0.1,,0.0,998.97,278.99,1.2,26.85,0.36,98.96,0.4
Pisticci,40.420277,16.548333,19/07/2021 08:00,1.29,0.18,336.62,0.51,0.02,1.86,0.37,6.43,4.46,1.14,0.03,79.76,0.04,,0.0,999.01,367.27,0.66,28.84,0.33,76.72,0.78
Pisticci,40.420277,16.548333,19/07/2021 09:00,-9999.0,0.17,336.35,-9999.0,-9999.0,1.85,0.37,4.71,3.23,0.79,-9999.0,92.08,-9999.0,,0.0,999.09,458.99,3.65,29.31,-9999.0,65.45,1.43
Pisticci,40.420277,16.548333,19/07/2021 10:00,1.36,0.15,335.77,0.76,0.04,1.84,0.36,4.28,2.84,0.62,0.06,108.85,0.07,,0.0,999.31,760.21,2.16,31.0,0.46,57.5,1.41
Pisticci,40.420277,16.548333,19/07/2021 11:00,1.25,0.15,336.64,0.49,0.1,1.84,0.36,3.97,2.75,0.71,0.25,109.0,0.08,,0.0,999.07,816.99,2.34,32.95,0.3,52.83,1.37
Pisticci,40.420277,16.548333,19/07/2021 12:00,1.35,0.16,337.07,0.69,0.03,1.83,0.38,3.67,2.44,0.57,0.33,110.24,0.03,,0.0,998.83,606.19,-9999.0,33.56,0.27,49.24,1.33
Pisticci,40.420277,16.548333,19/07/2021 13:00,1.5,0.15,336.8,0.75,0.05,-9999.0,-9999.0,4.93,3.17,0.63,0.07,112.18,0.05,,0.0,998.89,217.24,0.59,32.229,0.34,51.5,1.19
Pisticci,40.420277,16.548333,19/07/2021 14:00,1.3,-9999.0,247.27,0.16,0.11,1.83,0.37,7.94,5.57,1.46,0.08,97.92,0.08,,0.0,998.96,333.01,1.44,31.23,0.37,56.01,1.91
Pisticci,40.420277,16.548333,19/07/2021 15:00,1.27,0.16,67.49,0.28,0.09,1.83,0.37,7.03,-9999.0,-9999.0,0.16,109.59,0.14,,0.0,999.98,69.93,3.45,26.67,0.34,70.6,2.45
Pisticci,40.420277,16.548333,19/07/2021 16:00,0.75,0.15,111.61,0.12,0.24,1.84,0.37,8.44,5.2,0.82,0.46,105.41,0.11,,0.0,1000.4,217.14,1.45,26.47,0.23,76.97,1.39
Pisticci,40.420277,16.548333,19/07/2021 17:00,0.78,0.18,314.73,0.07,0.07,1.83,0.39,7.85,4.79,0.74,0.34,94.41,0.08,,0.2,1000.9,134.46,3.66,25.2,0.21,81.88,0.69
Pisticci,40.420277,16.548333,19/07/2021 18:00,0.91,0.17,248.4,0.22,0.07,1.84,0.38,8.05,5.08,0.9,0.18,87.8,0.32,,0.0,1001.18,108.7,1.88,26.38,0.35,84.99,0.52
Pisticci,40.420277,16.548333,19/07/2021 19:00,1.05,0.17,269.83,0.2,0.2,1.87,0.38,7.31,4.72,0.9,0.13,77.99,0.14,,0.0,1001.61,36.35,0.96,26.51,0.56,84.54,0.31
Pisticci,40.420277,16.548333,19/07/2021 20:00,1.27,0.18,248.65,0.37,0.14,1.9,0.39,8.98,5.54,0.87,0.12,60.12,0.12,,0.0,1001.77,0.01,3.64,24.97,0.36,86.33,0.23
Pisticci,40.420277,16.548333,19/07/2021 21:00,1.15,0.22,224.09,0.11,0.11,1.87,0.39,12.55,8.12,1.55,0.21,35.93,0.1,,0.0,1002.34,0.0,2.33,23.99,0.36,89.74,0.14
Pisticci,40.420277,16.548333,19/07/2021 22:00,1.46,0.22,271.82,0.75,0.07,1.88,0.41,21.53,14.1,2.85,0.09,14.41,0.09,,0.0,1002.76,0.0,4.62,23.28,0.55,92.61,0.08
Pisticci,40.420277,16.548333,19/07/2021 23:00,1.06,0.22,67.28,1.45,0.07,1.92,0.42,14.06,9.37,2.0,0.09,17.11,0.08,,0.0,1002.97,0.0,3.14,22.96,0.8,95.12,0.1
Pisticci,40.420277,16.548333,20/07/2021 00:00,1.02,0.2,353.45,1.78,0.05,1.96,0.41,8.21,6.1,1.79,0.06,33.27,0.09,,0.2,1002.98,0.0,2.98,23.02,1.12,96.7,0.11
Pisticci,40.420277,16.548333,20/07/2021 01:00,0.99,0.19,45.47,1.4,0.12,1.93,0.39,7.05,5.1,1.41,0.04,36.15,0.04,,0.0,1002.99,0.0,5.44,23.06,1.11,96.36,0.09
Pisticci,40.420277,16.548333,20/07/2021 02:00,1.04,0.17,246.53,1.18,0.12,1.91,0.38,7.39,5.53,1.65,0.06,38.17,0.05,,0.0,1003.01,0.0,2.34,23.09,0.82,95.09,0.39
Pisticci,40.420277,16.548333,20/07/2021 03:00,1.12,0.15,336.51,1.28,0.11,1.87,0.37,4.74,3.76,1.31,0.07,62.44,0.1,,0.0,1002.76,0.0,3.49,24.28,0.73,93.3,0.17
Pisticci,40.420277,16.548333,20/07/2021 04:00,1.45,0.15,247.4,0.6,0.11,1.92,0.37,4.9,3.72,1.2,0.08,54.56,0.08,,0.0,1002.66,0.0,1.76,23.84,0.59,90.24,0.29
Pisticci,40.420277,16.548333,20/07/2021 05:00,1.1,0.16,156.52,0.59,0.07,1.98,0.39,9.39,6.51,1.61,0.06,44.54,0.04,,0.0,1002.81,0.06,1.99,23.05,0.44,90.6,0.23
Pisticci,40.420277,16.548333,20/07/2021 06:00,1.02,0.17,271.62,0.54,0.1,1.99,0.39,10.86,8.32,2.64,0.08,43.57,0.04,,0.0,1003.28,89.24,3.39,24.31,0.58,90.4,0.41
Pisticci,40.420277,16.548333,20/07/2021 07:00,0.99,0.15,315.84,0.68,0.08,1.85,0.37,4.73,3.46,0.99,0.06,69.67,0.09,,0.0,1003.66,271.55,1.11,27.9,0.57,76.67,0.65
Pisticci,40.420277,16.548333,20/07/2021 08:00,1.18,0.16,336.62,0.12,0.13,1.85,0.37,4.95,3.48,0.91,0.12,74.34,0.1,,0.0,1004.01,392.52,1.98,28.75,0.59,67.29,1.43
Pisticci,40.420277,16.548333,20/07/2021 09:00,1.52,0.16,336.13,0.53,0.04,1.85,0.37,4.49,3.05,0.7,0.04,80.02,0.03,,0.0,1004.18,593.29,3.68,30.22,0.43,64.28,1.56
Pisticci,40.420277,16.548333,20/07/2021 10:00,1.33,0.15,336.85,0.48,0.04,1.84,0.36,3.48,2.55,0.75,0.12,96.17,0.03,,0.0,1004.18,691.07,4.72,32.479,0.45,55.55,1.17
Pisticci,40.420277,16.548333,20/07/2021 11:00,1.47,0.15,336.82,0.35,0.03,1.84,0.38,2.9,2.35,0.84,0.2,102.59,0.05,,0.0,1004.16,775.77,-9999.0,33.6,0.39,51.63,1.29
Pisticci,40.420277,16.548333,20/07/2021 12:00,1.29,0.16,337.38,0.29,0.45,-9999.0,-9999.0,3.52,2.72,0.92,0.09,105.85,0.05,,0.0,1003.94,995.56,4.72,35.42,0.43,46.62,1.24
Pisticci,40.420277,16.548333,20/07/2021 13:00,1.89,-9999.0,336.38,0.12,0.4,1.83,0.4,3.45,2.52,0.7,0.14,107.69,0.05,,0.0,1003.57,712.78,4.28,35.13,0.41,44.66,1.35
Pisticci,40.420277,16.548333,20/07/2021 14:00,1.9,0.16,337.26,0.06,0.39,1.82,0.42,4.59,-9999.0,-9999.0,0.33,105.2,0.03,,0.0,1003.38,892.61,1.12,35.98,0.37,44.24,1.66
Pisticci,40.420277,16.548333,20/07/2021 15:00,1.89,0.17,335.74,0.06,0.87,1.8,0.44,4.35,2.88,0.66,0.49,107.45,0.19,,0.0,1003.31,605.19,2.4,35.51,0.43,44.13,1.48
Pisticci,40.420277,16.548333,20/07/2021 16:00,1.89,0.17,336.52,0.14,0.41,1.81,0.43,5.34,3.42,0.63,0.29,107.82,0.36,,0.0,1003.4,340.31,3.6,35.1,0.39,45.06,1.25
Pisticci,40.420277,16.548333,20/07/2021 17:00,1.69,0.17,337.71,0.47,0.57,1.81,0.43,5.63,3.58,0.63,0.49,110.33,0.22,,0.0,1003.49,249.35,1.19,34.28,0.33,48.13,1.26
Pisticci,40.420277,16.548333,20/07/2021 18:00,1.51,0.18,44.25,0.16,0.47,1.81,0.46,6.61,4.27,0.86,0.21,112.34,0.07,,0.0,1003.76,135.58,2.61,33.91,0.56,50.16,1.03
Pisticci,40.420277,16.548333,20/07/2021 19:00,1.45,0.18,22.66,0.07,0.77,1.84,0.44,6.79,4.13,0.66,0.07,109.06,0.03,,0.0,1004.57,33.0,0.53,32.81,6.37,52.5,0.86
Pisticci,40.420277,16.548333,20/07/2021 20:00,1.03,0.17,67.0,0.23,0.22,1.86,0.49,7.77,4.83,0.77,0.09,99.19,0.04,,0.0,1005.57,0.01,0.8,30.9,8.5,56.1,0.42
Pisticci,40.420277,16.548333,20/07/2021 21:00,1.02,0.18,266.03,0.32,0.04,1.86,0.43,14.38,8.59,1.06,0.04,74.98,0.02,,0.0,1006.46,0.0,0.54,29.0,19.08,60.53,0.22
Pisticci,40.420277,16.548333,20/07/2021 22:00,1.0,0.23,248.8,0.67,0.05,1.86,0.42,28.88,18.24,3.12,0.32,38.81,0.02,,0.0,1006.84,0.01,1.57,26.34,15.06,68.72,0.05
Pisticci,40.420277,16.548333,20/07/2021 23:00,1.15,0.17,247.28,0.9,0.2,1.86,0.39,14.8,9.07,1.34,0.05,44.0,0.02,,0.0,1007.06,0.0,1.77,24.72,6.72,76.27,0.05
Pisticci,40.420277,16.548333,21/07/2021 00:00,1.11,0.18,271.62,1.11,0.13,1.87,0.4,15.19,9.44,1.49,0.05,34.68,0.02,,0.0,1007.2,0.0,0.93,23.5,3.87,80.86,0.04
Pisticci,40.420277,16.548333,21/07/2021 01:00,1.12,0.16,287.1,1.15,0.05,1.88,0.39,15.59,9.83,1.65,0.04,30.07,0.02,,0.0,1007.24,0.0,3.81,22.63,3.9,81.9,0.07
Pisticci,40.420277,16.548333,21/07/2021 02:00,1.13,0.14,249.32,1.13,0.05,1.88,0.37,11.97,7.92,1.65,0.05,35.97,0.04,,0.0,1007.24,0.0,1.88,22.26,4.6,82.91,0.23
Pisticci,40.420277,16.548333,21/07/2021 03:00,1.14,0.13,291.18,1.05,0.09,1.87,0.35,4.4,3.57,1.24,0.04,68.24,0.03,,0.0,1006.95,0.0,2.26,24.47,3.19,73.52,0.68
Pisticci,40.420277,16.548333,21/07/2021 04:00,1.15,0.13,269.97,0.65,0.05,1.88,0.34,4.67,3.33,0.86,0.03,65.98,0.04,,0.0,1006.95,0.0,2.64,24.24,1.95,67.62,0.83
Pisticci,40.420277,16.548333,21/07/2021 05:00,1.42,0.13,248.95,0.4,0.19,1.9,0.34,7.1,5.07,1.37,0.04,56.73,0.02,,0.0,1007.26,0.01,1.49,23.1,1.2,70.05,0.81
Pisticci,40.420277,16.548333,21/07/2021 06:00,1.44,0.14,269.41,0.29,0.17,1.88,0.33,8.91,6.39,1.72,0.02,55.94,0.02,,0.0,1007.63,79.02,3.16,24.19,0.94,65.31,0.83
Pisticci,40.420277,16.548333,21/07/2021 07:00,1.27,0.14,247.64,0.17,0.15,1.9,0.35,7.05,5.01,1.33,0.03,58.97,0.03,,0.0,1007.88,268.52,1.74,26.49,0.89,57.95,1.0
Pisticci,40.420277,16.548333,21/07/2021 08:00,1.34,0.15,336.76,0.18,0.05,1.87,0.35,7.9,5.4,1.25,0.04,69.41,0.04,,0.0,1008.12,468.21,2.52,30.4,0.66,48.88,0.76
Pisticci,40.420277,16.548333,21/07/2021 09:00,1.71,0.14,337.26,0.4,0.05,1.85,0.35,5.49,3.72,0.86,0.03,94.95,0.02,,0.0,1007.98,657.67,2.15,33.29,0.78,40.42,1.31
Pisticci,40.420277,16.548333,21/07/2021 10:00,1.57,0.16,336.75,0.27,0.13,1.85,0.36,4.11,2.99,0.82,0.22,99.41,0.04,,0.0,1007.9,821.15,-9999.0,35.48,3.15,35.85,1.44
Pisticci,40.420277,16.548333,21/07/2021 11:00,1.49,0.15,336.79,0.35,0.66,-9999.0,-9999.0,3.6,2.63,0.8,0.27,101.06,0.02,,0.0,1007.73,900.64,4.49,36.96,8.78,32.21,1.58
Pisticci,40.420277,16.548333,21/07/2021 12:00,1.73,-9999.0,337.18,0.08,1.04,1.82,0.38,3.15,2.55,0.9,0.39,100.22,0.04,,0.0,1007.41,1002.63,4.84,37.88,5.37,28.95,1.67
Pisticci,40.420277,16.548333,21/07/2021 13:00,2.23,0.17,337.33,0.25,0.66,1.81,0.42,5.16,-9999.0,-9999.0,0.22,109.33,0.39,,0.0,1006.98,988.49,1.84,38.07,2.26,29.78,1.79
Pisticci,40.420277,16.548333,21/07/2021 14:00,2.19,0.18,337.65,0.12,1.02,1.81,0.44,5.33,3.45,0.71,0.03,111.28,0.08,,0.0,1006.7,868.03,1.93,38.12,3.11,28.04,1.78
Pisticci,40.420277,16.548333,21/07/2021 15:00,2.0,0.18,44.81,0.22,0.67,1.8,0.47,7.43,4.91,1.04,0.12,110.19,0.1,,0.0,1006.52,738.33,0.08,37.62,3.33,27.65,2.15
Pisticci,40.420277,16.548333,21/07/2021 16:00,1.83,0.19,337.43,0.19,0.69,1.8,0.46,8.82,5.59,0.99,0.11,110.04,0.04,,0.0,1006.17,576.92,0.56,37.77,9.25,28.71,1.74
Pisticci,40.420277,16.548333,21/07/2021 17:00,1.97,0.19,44.98,0.14,0.68,1.8,0.51,7.55,4.82,0.86,0.04,112.51,0.11,,0.0,1005.96,384.89,0.01,37.28,4.52,27.99,1.6
Pisticci,40.420277,16.548333,21/07/2021 18:00,1.8,0.2,44.63,0.15,0.64,1.8,0.52,7.34,4.64,0.85,0.03,114.47,0.17,,0.0,1006.24,118.98,0.04,35.71,13.17,28.78,1.53
Pisticci,40.420277,16.548333,21/07/2021 19:00,1.13,0.18,337.86,0.33,0.14,1.81,0.44,6.82,4.06,0.54,0.06,110.23,0.09,,0.0,1006.82,14.53,0.0,33.97,25.86,31.33,0.7
Pisticci,40.420277,16.548333,21/07/2021 20:00,1.74,0.21,359.48,0.26,0.64,1.85,0.41,11.36,6.71,0.83,0.22,96.3,0.15,,0.0,1007.48,0.0,0.01,31.37,11.83,35.9,0.24
Pisticci,40.420277,16.548333,21/07/2021 21:00,1.64,0.19,268.8,0.35,0.6,1.87,0.37,14.73,8.58,0.91,0.06,84.16,0.01,,0.0,1008.33,0.0,0.0,29.84,5.19,36.57,0.41
Pisticci,40.420277,16.548333,21/07/2021 22:00,1.25,0.19,269.46,0.13,0.19,1.86,0.35,19.55,12.27,2.04,0.12,68.84,0.11,,0.0,1008.77,0.0,0.61,27.38,2.85,42.72,0.39
Pisticci,40.420277,16.548333,21/07/2021 23:00,1.69,0.2,155.97,0.79,0.29,1.88,0.36,18.45,11.7,2.07,0.08,55.59,0.05,,0.0,1008.82,0.0,0.66,24.94,1.91,48.27,0.09
Pisticci,40.420277,16.548333,22/07/2021 00:00,1.42,0.17,182.91,0.95,0.35,1.91,0.35,11.54,7.16,1.13,0.1,63.04,0.1,,0.0,1008.82,0.0,0.66,24.53,1.85,51.7,0.18
Pisticci,40.420277,16.548333,22/07/2021 01:00,1.49,0.17,338.59,0.45,0.34,1.91,0.34,9.17,6.0,1.2,0.16,57.46,0.06,,0.0,1008.59,0.0,1.57,23.45,1.66,55.07,0.21
Pisticci,40.420277,16.548333,22/07/2021 02:00,1.53,0.17,246.94,0.43,0.15,1.88,0.34,7.32,4.87,1.04,0.12,61.61,0.07,,0.0,1008.21,0.0,1.16,23.68,1.32,58.85,0.62
Pisticci,40.420277,16.548333,22/07/2021 03:00,1.56,0.18,89.18,0.37,0.21,1.89,0.35,7.06,4.95,1.22,0.13,60.98,0.11,,0.0,1007.82,0.0,0.66,23.23,1.25,61.6,0.18
Pisticci,40.420277,16.548333,22/07/2021 04:00,1.54,0.19,293.28,0.21,0.33,1.88,0.35,5.9,3.9,0.82,0.28,77.8,0.18,,0.0,1007.84,0.0,1.4,25.06,1.34,60.28,0.59
Pisticci,40.420277,16.548333,22/07/2021 05:00,0.76,0.17,294.04,0.27,0.08,1.86,0.33,6.58,4.25,0.83,0.09,79.49,0.09,,0.0,1007.95,0.01,0.96,25.7,1.27,55.66,0.67
Pisticci,40.420277,16.548333,22/07/2021 06:00,0.99,0.17,292.29,0.13,0.16,1.86,0.34,7.46,4.71,0.84,0.29,78.65,0.22,,0.0,1008.32,70.31,1.57,26.47,1.13,53.27,0.77
Pisticci,40.420277,16.548333,22/07/2021 07:00,1.04,0.16,337.09,0.07,0.11,1.87,0.33,7.26,4.64,0.87,0.16,79.59,0.11,,0.0,1008.76,251.08,0.97,28.34,1.21,47.3,0.85
Pisticci,40.420277,16.548333,22/07/2021 08:00,1.39,0.16,336.92,0.16,0.15,1.86,0.35,7.25,4.68,0.94,0.11,88.37,0.09,,0.0,1008.99,454.3,4.04,30.09,0.71,42.6,1.46
Pisticci,40.420277,16.548333,22/07/2021 09:00,1.21,0.17,336.7,0.15,0.19,1.86,0.34,5.07,3.28,0.68,0.08,96.14,0.09,,0.0,1008.79,634.9,-9999.0,31.93,0.69,41.35,1.63
Pisticci,40.420277,16.548333,22/07/2021 10:00,1.3,0.19,337.21,0.36,0.19,-9999.0,-9999.0,5.62,3.79,0.85,0.07,106.08,0.08,,0.0,1008.48,789.48,0.57,33.82,0.77,40.85,1.52
Pisticci,40.420277,16.548333,22/07/2021 11:00,1.49,-9999.0,337.4,0.27,0.03,1.83,0.38,4.73,3.18,0.77,0.34,109.31,0.04,,0.0,1008.21,873.87,3.06,35.68,0.56,38.07,1.54
Pisticci,40.420277,16.548333,22/07/2021 12:00,1.64,0.18,336.82,0.29,0.39,1.85,0.37,4.02,-9999.0,-9999.0,0.13,114.02,0.07,,0.0,1007.69,978.98,3.71,37.11,0.65,32.0,1.74
Pisticci,40.420277,16.548333,22/07/2021 13:00,1.82,0.18,336.69,0.38,0.99,1.84,0.39,3.6,2.54,0.71,0.13,116.57,0.23,,0.0,1007.07,983.62,2.64,37.76,0.74,26.87,1.96
Pisticci,40.420277,16.548333,22/07/2021 14:00,1.92,0.2,336.84,0.12,0.74,1.83,0.42,4.13,2.84,0.72,0.03,122.11,0.06,,0.0,1006.58,841.82,0.82,37.86,0.55,26.71,1.84
Pisticci,40.420277,16.548333,22/07/2021 15:00,2.04,0.21,336.23,0.09,0.45,1.83,0.41,5.76,3.77,0.8,0.05,123.22,0.06,,0.0,1006.01,741.21,2.04,38.23,0.7,24.33,1.94
Pisticci,40.420277,16.548333,22/07/2021 16:00,2.27,0.21,336.73,0.03,0.43,1.82,0.43,5.37,3.25,0.53,0.08,129.01,0.07,,0.0,1005.7,574.67,0.5,37.76,0.56,25.15,1.84
Pisticci,40.420277,16.548333,22/07/2021 17:00,2.09,0.21,336.72,0.06,0.36,1.83,0.42,5.11,3.22,0.58,0.03,128.05,0.07,,0.0,1005.66,386.53,2.11,36.85,0.62,24.24,1.98
Pisticci,40.420277,16.548333,22/07/2021 18:00,1.58,0.2,336.56,0.16,0.2,1.83,0.42,5.43,3.34,0.54,0.19,124.86,0.2,,0.0,1005.6,118.25,0.41,35.37,0.67,28.31,1.57
Pisticci,40.420277,16.548333,22/07/2021 19:00,1.73,0.2,337.4,0.1,0.07,1.85,0.41,6.45,4.11,0.73,0.04,119.9,0.06,,0.0,1006.0,14.23,0.53,33.64,0.46,31.07,0.93
Pisticci,40.420277,16.548333,22/07/2021 20:00,1.65,0.22,0.12,0.13,0.22,1.86,0.4,8.44,5.06,0.66,0.15,109.1,0.13,,0.0,1006.58,0.0,0.0,30.9,0.39,39.16,0.36
Pisticci,40.420277,16.548333,22/07/2021 21:00,1.63,0.22,227.35,0.3,0.12,1.87,0.36,23.38,13.55,1.32,0.09,66.86,0.03,,0.0,1007.26,0.0,0.0,27.01,0.99,47.18,0.3
Pisticci,40.420277,16.548333,22/07/2021 22:00,1.59,0.23,225.41,0.4,0.05,1.88,0.36,25.8,16.2,2.76,0.1,56.3,0.08,,0.0,1007.7,0.0,1.35,25.19,0.81,52.58,0.28
Pisticci,40.420277,16.548333,22/07/2021 23:00,1.59,0.22,249.18,0.33,0.07,1.87,0.35,13.94,8.53,1.27,0.06,76.26,0.04,,0.0,1007.7,0.0,2.34,24.4,0.93,55.55,0.21
Pisticci,40.420277,16.548333,23/07/2021 00:00,1.51,0.22,292.71,0.32,0.3,1.88,0.34,9.41,6.03,1.1,0.08,84.78,0.08,,0.0,1007.63,0.0,3.76,24.98,1.09,55.54,0.41
Pisticci,40.420277,16.548333,23/07/2021 01:00,1.31,0.2,248.56,0.38,0.19,1.89,0.33,5.76,3.78,0.8,0.18,90.25,0.08,,0.0,1007.66,0.0,4.92,25.55,1.05,49.85,0.73
Pisticci,40.420277,16.548333,23/07/2021 02:00,1.54,0.18,247.24,0.12,0.17,1.92,0.33,5.78,3.85,0.83,0.13,80.67,0.1,,0.0,1007.51,0.0,2.28,24.12,0.78,51.08,0.84
Pisticci,40.420277,16.548333,23/07/2021 03:00,1.5,0.17,269.29,0.11,0.12,1.92,0.32,4.72,3.11,0.67,0.19,83.75,0.11,,0.0,1007.27,0.0,2.06,23.6,0.64,50.87,0.66
Pisticci,40.420277,16.548333,23/07/2021 04:00,1.67,0.17,293.6,0.17,0.09,1.88,0.33,4.17,2.88,0.73,0.19,91.82,0.1,,0.0,1007.09,0.0,0.48,24.18,0.51,49.58,0.66
Pisticci,40.420277,16.548333,23/07/2021 05:00,1.32,0.18,247.64,0.08,0.09,2.02,0.34,12.43,7.63,1.13,0.05,65.96,0.11,,0.0,1006.99,0.02,1.84,22.13,0.53,53.27,0.55
Pisticci,40.420277,16.548333,23/07/2021 06:00,1.68,0.19,293.83,0.16,0.08,1.93,0.34,13.92,9.19,1.91,0.14,68.53,0.19,,0.0,1007.12,71.25,0.87,23.45,0.57,52.9,0.63
Pisticci,40.420277,16.548333,23/07/2021 07:00,1.49,0.18,335.28,0.13,0.16,1.9,0.32,8.79,5.63,1.06,0.2,78.11,0.14,,0.0,1007.17,259.56,1.09,25.84,0.67,45.57,0.73
Pisticci,40.420277,16.548333,23/07/2021 08:00,1.32,0.19,336.7,0.15,0.14,1.9,0.33,9.24,6.01,1.19,0.09,85.55,0.18,,0.0,1007.18,459.84,-9999.0,28.85,0.62,39.23,0.71
Pisticci,40.420277,16.548333,23/07/2021 09:00,1.41,0.19,337.09,0.19,0.24,-9999.0,-9999.0,7.65,5.14,1.16,0.11,97.3,0.11,,0.0,1007.08,641.04,2.37,32.71,0.67,32.93,0.63
Pisticci,40.420277,16.548333,23/07/2021 10:00,-9999.0,-9999.0,90.1,-9999.0,-9999.0,1.86,0.33,6.33,4.46,1.17,-9999.0,116.19,-9999.0,,0.0,1006.64,797.35,3.56,35.12,-9999.0,28.21,0.78
