Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),PM10 (µg/m³)
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 03:00,0.43,12.4
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 04:00,0.39,14.43
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 05:00,0.38,15.82
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 06:00,0.4,22.1
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 07:00,0.41,19.91
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 08:00,0.58,14.31
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 09:00,0.74,19.69
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 10:00,0.65,24.05
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 11:00,0.69,21.35
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 12:00,0.72,21.72
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 13:00,0.76,20.39
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 14:00,0.8,17.14
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 15:00,0.7,17.13
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 16:00,0.69,27.13
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 17:00,0.73,24.27
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 18:00,0.77,19.3
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 19:00,0.79,21.04
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 20:00,0.75,26.27
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 21:00,0.75,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 22:00,0.65,30.95
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 23:00,0.58,14.86
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 00:00,0.51,14.96
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 01:00,0.49,13.44
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 02:00,0.45,13.5
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 03:00,0.47,14.66
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 04:00,0.49,23.87
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 05:00,0.47,47.15
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 06:00,0.48,44.27
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 07:00,0.52,33.06
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 08:00,0.61,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 09:00,0.86,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 10:00,0.72,15.25
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 11:00,0.67,20.6
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 12:00,0.78,16.6
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 13:00,0.67,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 14:00,0.83,12.65
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 15:00,0.62,9.91
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 16:00,0.62,5.86
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 17:00,0.71,5.47
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 18:00,0.81,7.92
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 19:00,0.74,5.37
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 20:00,0.76,7.14
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 21:00,1.05,15.47
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 22:00,1.0,12.9
Potenza_viale_Firenze,40.313888,15.904444,12/01/2022 23:00,0.72,7.66
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 00:00,0.48,10.82
Potenza_viale_Firenze,40.313888,15.904444,13/01/2022 01:00,0.45,13.22
