Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Etilbenzene (µg/m³),mp-Xilene (µg/m³),o-Xilene (µg/m³),PM10 (µg/m³),Toluene (µg/m³)
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 09:00,1.18,0.6,0.42,2.72,0.6,14.58,2.19
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 10:00,1.63,0.5,0.65,3.21,0.68,21.24,2.32
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 11:00,1.13,0.44,0.52,2.41,0.46,24.96,1.79
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 12:00,1.12,0.51,0.6,1.31,0.59,21.73,2.25
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 13:00,1.56,0.43,0.75,2.34,0.89,22.67,2.95
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 14:00,1.01,-9999.0,0.51,2.22,0.62,20.1,2.46
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 15:00,0.89,0.45,0.24,2.27,0.62,16.95,1.96
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 16:00,1.27,0.39,0.45,2.27,0.63,20.13,1.96
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 17:00,0.89,0.34,0.25,1.66,0.44,27.02,1.77
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 18:00,0.74,0.28,0.27,1.63,0.13,-9999.0,1.33
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 19:00,0.61,0.3,0.19,1.23,0.14,-9999.0,1.02
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 20:00,0.61,0.33,0.11,1.19,0.13,-9999.0,1.01
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 21:00,0.69,0.33,0.26,1.5,0.14,-9999.0,1.03
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 22:00,0.74,0.27,0.21,1.17,0.13,-9999.0,1.02
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 23:00,0.61,0.26,0.2,0.99,0.15,-9999.0,0.99
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 00:00,0.61,0.23,0.11,0.96,0.11,-9999.0,0.85
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 01:00,0.61,0.24,0.11,0.5,0.1,-9999.0,0.56
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 02:00,0.69,0.27,0.11,0.53,0.12,22.44,0.73
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 03:00,0.64,0.31,0.11,0.78,0.1,50.13,1.0
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 04:00,0.61,0.24,0.11,0.99,0.14,70.96,1.01
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 05:00,0.36,0.08,0.21,0.8,0.11,77.4,0.64
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 06:00,0.05,0.08,0.11,0.15,0.08,-9999.0,0.07
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 07:00,0.02,0.11,0.11,0.11,0.08,-9999.0,0.09
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 08:00,0.17,0.15,0.11,0.68,0.11,46.76,0.49
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 09:00,0.28,0.18,0.18,0.73,0.11,41.66,0.72
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 10:00,0.22,0.15,0.12,0.87,0.14,-9999.0,0.62
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 11:00,0.19,0.16,0.11,0.91,0.13,-9999.0,0.72
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 12:00,0.26,0.17,0.11,0.93,0.13,64.67,0.96
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 13:00,0.29,-9999.0,0.16,1.02,0.12,75.37,0.95
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 14:00,0.58,0.28,0.23,1.32,0.31,26.25,1.18
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 15:00,0.61,0.26,0.19,1.41,0.18,14.94,1.07
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 16:00,0.61,0.27,0.38,0.47,0.39,14.0,1.02
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 17:00,0.61,0.34,0.18,0.99,0.14,13.19,1.0
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 18:00,0.87,0.55,0.28,1.55,0.33,19.3,0.89
Potenza_Viale_Unicef,40.627777,15.796388,08/01/2021 19:00,1.55,0.54,0.49,2.2,0.64,16.39,2.13
